country,countrycode,rank,download_speed_MBPS,upload_speed_MBPS,incomeperperson,internetusage,urbanrate,totpop
Togo,TGO,154,1.09,0.82,285,5.4,42,7506
Trinidad and Tobago,TTO,56,12.28,7.02,10481,48.5,13.22,1408
Tunisia,TUN,104,3.58,0.71,3165,36.6,66.5,11819
Turkey,TUR,84,5.22,0.66,5349,39.8,68.68,82763
Turkmenistan,TKM,180,0.32,0.59,2062,2.2,48.62,5826
Uganda,UGA,119,2.14,2.04,377,12.5,12.98,46312
Ukraine,UKR,59,11.21,11.59,1037,44.6,67.98,44038
United Arab Emirates,ARE,79,6.76,6.01,21087,78.0,77.88,9356
United Kingdom,GBR,28,28.51,8.87,28033,84.7,89.94,67138
Uruguay,URY,70,8.05,6.91,9106,47.9,92.3,3572
Uzbekistan,UZB,141,1.49,0.62,953,19.4,36.82,31605
Vanuatu,VUT,125,1.94,2.05,1544,8.0,24.76,309
Zambia,ZMB,161,0.91,1.28,432,10.1,35.42,18253
Zimbabwe,ZWE,128,1.85,0.61,321,11.5,37.34,15956
